Filled container:
Polar: (0.13466, -4.99726e+06); Function value = 0.203255
Polar: (0.8446, -4.98159e+06); Function value = 0.900122
Polar: (1.10929, -4.97303e+06); Function value = 2.25044
Polar: (1.22301, -4.98621e+06); Function value = -1.45729
Polar: (1.14214, -4.99871e+06); Function value = -1.7071
Polar: (1.26105, -4.96831e+06); Function value = 3.1019
Polar: (0.18316, -4.99565e+06); Function value = 0.723611
Polar: (1.17383, -4.98351e+06); Function value = -2.98554
Polar: (1.5635, -4.97552e+06); Function value = -6.71736
Polar: (1.6706, -4.9812e+06); Function value = -1.67548
Polar: (1.15712, -4.97861e+06); Function value = 2.79751
Polar: (1.2908, -4.98306e+06); Function value = -3.39722
Polar: (1.19402, -4.98816e+06); Function value = -1.77748
Polar: (1.11979, -4.99544e+06); Function value = 1.85347
Polar: (0.10141, -4.97172e+06); Function value = -0.102495
Polar: (1.24305, -4.98305e+06); Function value = 23.9071
Polar: (0.17386, -4.98397e+06); Function value = 0.174698
Polar: (1.2154, -4.96976e+06); Function value = 1.55547
Polar: (1.9461, -4.97043e+06); Function value = 2.06627
Polar: (0.4594, -4.97136e+06); Function value = 0.489481
Polar: (0.13493, -4.99318e+06); Function value = -0.136855
Polar: (0.2526, -4.9898e+06); Function value = 0.257502
Polar: (1.26456, -4.99366e+06); Function value = 1.4687
Polar: (0.10206, -4.97061e+06); Function value = 0.269326
Polar: (0.12221, -4.97736e+06); Function value = 0.12683
Polar: (0.11995, -4.9855e+06); Function value = 0.268012
Polar: (0.174, -4.99784e+06); Function value = 0.365681
Polar: (0.25908, -4.98496e+06); Function value = -0.262041
Polar: (0.12753, -4.97277e+06); Function value = -0.319894
Polar: (0.4411, -4.97274e+06); Function value = -0.459084
Polar: (1.17221, -4.98744e+06); Function value = 1.39037
Polar: (0.17846, -4.97957e+06); Function value = -0.200727
Polar: (1.1306, -4.97155e+06); Function value = 1.13107
Polar: (1.32351, -4.96733e+06); Function value = -3.45468
Polar: (1.12529, -4.99451e+06); Function value = -1.13351
Polar: (0.3173, -4.9912e+06); Function value = -0.67146
Polar: (0.1399, -4.99958e+06); Function value = -1.6402
Polar: (1.21225, -4.99732e+06); Function value = 1.46844
Polar: (1.11245, -4.99268e+06); Function value = 4.19716
Polar: (0.21377, -4.97672e+06); Function value = 0.404649
Polar: (0.23368, -4.9977e+06); Function value = -0.400885
Polar: (1.2745, -4.98419e+06); Function value = -1.27578
Polar: (0.13929, -4.97498e+06); Function value = 0.140218
Polar: (0.7309, -4.98914e+06); Function value = 2.26824
Polar: (0.27322, -4.99781e+06); Function value = 0.858477
Polar: (1.2072, -4.98453e+06); Function value = 2.72308
Polar: (1.17879, -4.99887e+06); Function value = 1.23718
Polar: (0.24648, -4.99339e+06); Function value = -0.705096
Polar: (1.27151, -4.97132e+06); Function value = 4.44078
Polar: (1.408, -4.97295e+06); Function value = 3.77943
Polar: (0.21224, -4.96918e+06); Function value = 0.221234
Polar: (1.786, -4.97682e+06); Function value = -1.82536
Polar: (1.10648, -4.97253e+06); Function value = 11.0553
Polar: (0.345, -4.98541e+06); Function value = -0.34581
Polar: (1.27019, -4.97805e+06); Function value = 1.4633
Polar: (0.28435, -4.99434e+06); Function value = 0.486075
Polar: (1.21732, -4.98707e+06); Function value = -1.48961
Polar: (0.15884, -4.96773e+06); Function value = -0.158842
Polar: (1.1458, -4.98959e+06); Function value = -1.3887
Polar: (1.4067, -4.98402e+06); Function value = -1.51959
Polar: (0.709, -4.97696e+06); Function value = 1.84451
Polar: (1.20011, -4.98442e+06); Function value = -19.6836
Polar: (1.9106, -4.98319e+06); Function value = -1.97689
Polar: (0.3044, -4.97607e+06); Function value = -0.432021
Polar: (0.1774, -4.99117e+06); Function value = 1.12855
Polar: (0.14614, -4.96888e+06); Function value = -0.148449
Polar: (1.20247, -4.99856e+06); Function value = 3.0325
Polar: (1.24866, -4.97397e+06); Function value = -1.26267
Polar: (0.14794, -4.98135e+06); Function value = -1.87585
Polar: (1.5486, -4.99779e+06); Function value = -32.4024
Polar: (1.13427, -4.98427e+06); Function value = -1.45142
Polar: (0.25297, -4.99959e+06); Function value = 0.337329
Polar: (0.6353, -4.97792e+06); Function value = 0.754501
Polar: (0.6421, -4.97573e+06); Function value = -0.839754
Polar: (0.12248, -4.97377e+06); Function value = -0.140744
Polar: (1.30583, -4.9744e+06); Function value = -10.8857
Polar: (0.17968, -4.97132e+06); Function value = 0.37594
Polar: (0.10538, -4.97517e+06); Function value = -0.328736
Polar: (1.4278, -4.99945e+06); Function value = 1.61112
Polar: (0.4565, -4.99384e+06); Function value = -0.458828
Polar: (0.24826, -4.9898e+06); Function value = -0.249296
Polar: (0.27153, -4.98657e+06); Function value = 0.27166
Polar: (1.10687, -4.97381e+06); Function value = -3.30368
Polar: (0.11244, -4.97925e+06); Function value = -0.116373
Polar: (0.21375, -4.98064e+06); Function value = 0.334262
Polar: (1.20328, -4.99625e+06); Function value = -1.27769
Polar: (1.24804, -4.99668e+06); Function value = 1.27653
Polar: (0.22268, -4.98501e+06); Function value = -0.234966
Polar: (0.25423, -4.98631e+06); Function value = -0.683066
Polar: (0.11282, -4.99867e+06); Function value = -0.725855
Polar: (0.16213, -4.9743e+06); Function value = -0.345069
Polar: (0.19336, -4.98145e+06); Function value = 0.239169
Polar: (1.16701, -4.99288e+06); Function value = 3.04199
Polar: (0.16944, -4.97589e+06); Function value = 0.291538
Polar: (0.388, -4.99205e+06); Function value = 0.85902
Polar: (0.31055, -4.99827e+06); Function value = 0.346006
Polar: (1.6489, -4.9751e+06); Function value = -1.88623
Polar: (0.21281, -4.9755e+06); Function value = 0.226802
Polar: (0.10017, -4.99903e+06); Function value = 0.104753
Polar: (0.5971, -4.9729e+06); Function value = -1.2008
Polar: (0.8948, -4.9742e+06); Function value = 3.29746
Polar: (1.12168, -4.99174e+06); Function value = -1.52056
Polar: (0.798, -4.98423e+06); Function value = -0.800424
Polar: (0.13269, -4.99224e+06); Function value = 1.05825
Polar: (1.12447, -4.97916e+06); Function value = -1.36129
Polar: (0.18245, -4.97784e+06); Function value = 0.185616
Polar: (1.19372, -4.98881e+06); Function value = 1.2509
Polar: (0.17494, -4.97722e+06); Function value = 0.253743
Polar: (1.16427, -4.97168e+06); Function value = 1.21196
Polar: (0.14714, -4.98936e+06); Function value = -0.278183
Polar: (1.10811, -4.98728e+06); Function value = -1.13126
Polar: (1.13719, -4.99005e+06); Function value = -1.15679
Polar: (1.273, -4.97131e+06); Function value = 1.43339
Polar: (0.25735, -4.99988e+06); Function value = -0.257426
Polar: (0.19324, -4.99814e+06); Function value = 1.71176
Polar: (1.3164, -4.98428e+06); Function value = 2.27375
Polar: (1.5227, -4.98219e+06); Function value = -1.66906
Polar: (1.30221, -4.97882e+06); Function value = -2.01932
Polar: (1.28514, -4.99782e+06); Function value = 2.2956
Polar: (1.8603, -4.98103e+06); Function value = -2.25633
Polar: (1.15616, -4.97252e+06); Function value = 21.0665
Polar: (0.31469, -4.96926e+06); Function value = 0.318054
Polar: (1.31003, -4.99855e+06); Function value = 1.31871
Polar: (1.23073, -4.98289e+06); Function value = 1.39682
Polar: (0.20283, -4.98521e+06); Function value = -0.452322
Polar: (0.28489, -4.96916e+06); Function value = 0.412528
Polar: (0.32539, -4.99507e+06); Function value = 4.69939
Polar: (0.3819, -4.98627e+06); Function value = 0.432609
Polar: (1.4395, -4.98632e+06); Function value = 1.4429
Polar: (0.20098, -4.97643e+06); Function value = 0.221803
Polar: (0.23313, -4.97696e+06); Function value = 0.237208
Polar: (0.28922, -4.99363e+06); Function value = -0.300338
Polar: (0.21539, -4.9756e+06); Function value = 0.295927
Polar: (0.9015, -4.96842e+06); Function value = 0.941755
Polar: (0.1483, -4.97363e+06); Function value = -0.16356
Polar: (0.2191, -4.99305e+06); Function value = -0.871481
Polar: (1.1203, -4.99884e+06); Function value = 32.5241
Polar: (0.5963, -4.97977e+06); Function value = 12.378
Polar: (0.11236, -4.96838e+06); Function value = 0.130851
Polar: (0.17706, -4.97049e+06); Function value = -0.208062
Polar: (1.15019, -4.99631e+06); Function value = 1.15151
Polar: (1.99, -4.98359e+06); Function value = -1.99492
Polar: (1.13412, -4.97619e+06); Function value = 108.277
Polar: (1.3469, -4.98763e+06); Function value = -2.35348
Polar: (1.18718, -4.97883e+06); Function value = -1.24277
Polar: (1.338, -4.96936e+06); Function value = -257.735
Polar: (0.2307, -4.99046e+06); Function value = 5.63726
Polar: (1.20409, -4.99754e+06); Function value = -4.7305
Polar: (0.2006, -4.9746e+06); Function value = 0.206052
Polar: (0.30535, -4.98788e+06); Function value = -0.327661
Polar: (1.14084, -4.99531e+06); Function value = -9.84003
Polar: (1.4335, -4.98804e+06); Function value = -2.12597
Polar: (0.17398, -4.9759e+06); Function value = -0.286966
Polar: (1.11422, -4.99983e+06); Function value = 1.44079
Polar: (0.2118, -4.97786e+06); Function value = -0.216361
Polar: (1.32176, -4.99397e+06); Function value = -2.15767
Polar: (1.3773, -4.98416e+06); Function value = -11.1112
Polar: (0.22392, -4.98625e+06); Function value = 0.266366
Polar: (0.15958, -4.97333e+06); Function value = -0.174479
Polar: (0.31165, -4.97847e+06); Function value = -0.595375
Polar: (0.3778, -4.98949e+06); Function value = -0.656776
Polar: (0.11575, -4.99369e+06); Function value = -0.118718
Polar: (1.3301, -4.97894e+06); Function value = -1.33494
Polar: (0.1231, -4.97625e+06); Function value = 0.187317
Polar: (1.12119, -4.98297e+06); Function value = -3.80927
Polar: (1.29307, -4.98261e+06); Function value = -2.1887
Polar: (1.31459, -4.99905e+06); Function value = 2.98439
Polar: (1.8957, -4.97489e+06); Function value = 10.8663
Polar: (1.30475, -4.96889e+06); Function value = 32.5045
Polar: (0.2854, -4.97075e+06); Function value = -0.412538
Polar: (1.29314, -4.99185e+06); Function value = 4.00716
Polar: (1.15347, -4.9926e+06); Function value = -2.96629
Polar: (1.6064, -4.97712e+06); Function value = -10.0319
Polar: (1.2648, -4.97988e+06); Function value = -1.3116
Polar: (0.20786, -4.98001e+06); Function value = 0.225472
Polar: (0.23481, -4.99224e+06); Function value = -0.331825
Polar: (0.32344, -4.97703e+06); Function value = -0.32499
Polar: (1.1701, -4.98255e+06); Function value = 1.27789
Polar: (0.30629, -4.99737e+06); Function value = -0.34128
Polar: (0.27216, -4.9919e+06); Function value = -0.298253
Polar: (1.25426, -4.98809e+06); Function value = -1.6602
Polar: (1.21781, -4.97993e+06); Function value = 1.21884
Polar: (0.22988, -4.97019e+06); Function value = -0.406628
Polar: (1.2636, -4.97889e+06); Function value = 1.31752
Polar: (1.23089, -4.99389e+06); Function value = -1.85867
Polar: (1.17187, -4.98131e+06); Function value = -1.24965
Polar: (0.3799, -4.9916e+06); Function value = -0.38395
Polar: (1.30772, -4.98755e+06); Function value = 1.48576
Polar: (1.25029, -4.98716e+06); Function value = -1.96463
Polar: (0.31932, -4.98363e+06); Function value = 0.409582
Polar: (0.24887, -4.97339e+06); Function value = 0.251668
Polar: (0.31683, -4.9805e+06); Function value = 0.387009
Polar: (1.29726, -4.98207e+06); Function value = 1.95592
Polar: (0.28994, -4.98375e+06); Function value = 0.38987
Polar: (1.24222, -4.98603e+06); Function value = -2.27609
Polar: (0.5799, -4.99194e+06); Function value = 1.53087
Polar: (1.5775, -4.99375e+06); Function value = 1.59686
Polar: (0.802, -4.99079e+06); Function value = -0.894264
Polar: (1.26621, -4.97601e+06); Function value = 2.42764
Polar: (1.17697, -4.97616e+06); Function value = 3.24271
Polar: (1.27048, -4.98504e+06); Function value = 1.55529
Polar: (1.9429, -4.97282e+06); Function value = -2.0214
Polar: (1.16773, -4.97473e+06); Function value = -1.19106
Polar: (1.27313, -4.98364e+06); Function value = 1.49842
Polar: (1.1465, -4.9771e+06); Function value = -3.49083
Polar: (0.20198, -4.96747e+06); Function value = -0.803845
Polar: (0.8869, -4.97978e+06); Function value = 0.93905
Polar: (0.25114, -4.97672e+06); Function value = -0.347174
Polar: (1.3158, -4.99611e+06); Function value = 1.55216
Polar: (0.10727, -4.99595e+06); Function value = 0.107274
Polar: (0.17937, -4.99991e+06); Function value = -0.202816
Polar: (0.3419, -4.97298e+06); Function value = -1.12282
Polar: (1.13646, -4.98733e+06); Function value = 1.22131
Polar: (0.4473, -4.97698e+06); Function value = -0.842349
Polar: (1.3116, -4.96907e+06); Function value = -1.42447
Polar: (1.26038, -4.99199e+06); Function value = -1.53217
Polar: (0.25009, -4.99117e+06); Function value = 0.259509
Polar: (1.16509, -4.9685e+06); Function value = -1.21507
Polar: (0.1198, -4.98804e+06); Function value = 0.148765
Polar: (1.2988, -4.96927e+06); Function value = 2.26208
Polar: (1.10833, -4.99166e+06); Function value = 1.2464
Polar: (0.24853, -4.98332e+06); Function value = -0.288228
Polar: (1.2493, -4.97633e+06); Function value = -1.6374
Polar: (0.2227, -4.99799e+06); Function value = 0.521682
Polar: (0.9024, -4.99425e+06); Function value = -1.83106
Polar: (0.7329, -4.96864e+06); Function value = 1.11513
Polar: (1.29245, -4.97929e+06); Function value = 2.18376
Polar: (0.26285, -4.98079e+06); Function value = 12.889
Polar: (0.27597, -4.97262e+06); Function value = 0.312918
Polar: (0.11202, -4.98221e+06); Function value = 0.179774
Polar: (1.902, -4.98387e+06); Function value = 49.649
Polar: (1.12537, -4.96973e+06); Function value = 1.13701
Polar: (0.16011, -4.9792e+06); Function value = -0.394101
Polar: (1.26202, -4.97521e+06); Function value = -2.21025
Polar: (0.15084, -4.99639e+06); Function value = -0.150952
Polar: (0.4964, -4.98202e+06); Function value = -0.499431
Polar: (0.329, -4.99367e+06); Function value = 0.813344
Polar: (0.21385, -4.96838e+06); Function value = -0.230042
Polar: (1.19134, -4.98934e+06); Function value = 2.22265
Polar: (1.25263, -4.97948e+06); Function value = 2.24342
Polar: (0.21786, -4.96799e+06); Function value = -0.232955
Polar: (0.14769, -4.99879e+06); Function value = -0.147694
Polar: (1.26466, -4.97915e+06); Function value = 7.87536
Polar: (1.31451, -4.97919e+06); Function value = 1.37979
Polar: (1.9806, -4.96977e+06); Function value = 4.65897
Polar: (0.11889, -4.96828e+06); Function value = 0.176354
Polar: (0.14538, -4.97299e+06); Function value = -0.696456
Polar: (0.20265, -4.96743e+06); Function value = -9.41962
Polar: (1.15478, -4.99795e+06); Function value = -2.09113
Polar: (1.99, -4.98341e+06); Function value = 8.05675
Polar: (0.2598, -4.98103e+06); Function value = 0.284981
Polar: (0.31258, -4.97752e+06); Function value = -0.347493
Polar: (1.19043, -4.99509e+06); Function value = -2.98355
Polar: (0.1667, -4.97457e+06); Function value = 0.46017
Polar: (0.23016, -4.99596e+06); Function value = 0.264352
Polar: (1.19822, -4.97104e+06); Function value = -3.49092
Polar: (0.32294, -4.99072e+06); Function value = -1.12608
Polar: (0.1263, -4.97037e+06); Function value = -0.300909
Polar: (1.27072, -4.97254e+06); Function value = -2.31466
Polar: (0.25127, -4.98119e+06); Function value = -0.364265
Polar: (0.4368, -4.98255e+06); Function value = 0.62463
Polar: (0.6598, -4.97889e+06); Function value = -1.47372
Polar: (1.20128, -4.97092e+06); Function value = 2.16862
Polar: (1.10374, -4.99399e+06); Function value = -1.19527
Polar: (0.2245, -4.98157e+06); Function value = 0.47663
Polar: (0.20916, -4.99995e+06); Function value = 11.216
Polar: (0.185, -4.97235e+06); Function value = -0.450737
Polar: (0.30732, -4.99336e+06); Function value = 0.78396
Polar: (0.20957, -4.99151e+06); Function value = -0.569559
Polar: (1.6722, -4.97186e+06); Function value = 3.63472
Polar: (0.27515, -4.98973e+06); Function value = 0.435318
Polar: (1.8058, -4.97339e+06); Function value = 2.89625
Polar: (0.15011, -4.9884e+06); Function value = 0.180886
Polar: (1.29648, -4.98033e+06); Function value = 1.87028
Polar: (0.32152, -4.98168e+06); Function value = -0.323796
Polar: (1.29905, -4.98339e+06); Function value = -2.69512
Polar: (1.6227, -4.99837e+06); Function value = 19.4011
Polar: (1.11775, -4.97584e+06); Function value = 1.21735
Polar: (1.14592, -4.99578e+06); Function value = -1.32398
Polar: (0.25937, -4.97639e+06); Function value = -0.300902
Polar: (0.19583, -4.9789e+06); Function value = 1.05518
Polar: (0.30641, -4.98252e+06); Function value = -1.63097
Polar: (0.17125, -4.98437e+06); Function value = -0.173058
Polar: (1.1404, -4.98517e+06); Function value = 1.15916
Polar: (1.9209, -4.9949e+06); Function value = -2.13147
Polar: (0.28422, -4.97939e+06); Function value = -1.93631
Polar: (1.29624, -4.98058e+06); Function value = -1.32431
Polar: (0.8467, -4.97082e+06); Function value = 23.3942
Polar: (1.26321, -4.9689e+06); Function value = -4.22331
Polar: (0.12639, -4.97818e+06); Function value = 0.204734
Polar: (0.26409, -4.97961e+06); Function value = -0.632554
Polar: (1.19223, -4.99879e+06); Function value = 1.20654
Polar: (1.26711, -4.98822e+06); Function value = 4.83572
Polar: (0.27486, -4.97007e+06); Function value = -0.337479
Polar: (0.3113, -4.98376e+06); Function value = 0.334391
Polar: (0.28105, -4.98905e+06); Function value = 0.872159
Polar: (1.5918, -4.9896e+06); Function value = -2.08581
Polar: (1.26851, -4.97074e+06); Function value = -1.5318
Polar: (1.13546, -4.98195e+06); Function value = -1.16682
Polar: (0.23209, -4.99053e+06); Function value = 0.237864
Polar: (1.3318, -4.96807e+06); Function value = 2.28187
Polar: (1.9487, -4.99992e+06); Function value = -2.0564
Polar: (1.9949, -4.99479e+06); Function value = 2.97585
Polar: (0.23162, -4.99683e+06); Function value = -1.08764
Polar: (1.792, -4.98925e+06); Function value = 5.22217
Polar: (1.23108, -4.99535e+06); Function value = 1.28569
Polar: (1.10931, -4.98855e+06); Function value = 3.63275
Polar: (0.15675, -4.99122e+06); Function value = 0.201332
Polar: (1.27997, -4.97227e+06); Function value = 1.31119
Polar: (1.4642, -4.98891e+06); Function value = 1.71641
Polar: (0.726, -4.98573e+06); Function value = 14.1158
Polar: (1.27182, -4.99171e+06); Function value = 1.27946
Polar: (1.29646, -4.99698e+06); Function value = -1.33884
Polar: (1.13706, -4.98784e+06); Function value = 103.348
Polar: (0.31497, -4.97912e+06); Function value = 0.369323
Polar: (0.28628, -4.99786e+06); Function value = -0.453628
Polar: (1.642, -4.98852e+06); Function value = -1.64378
Polar: (0.7326, -4.98704e+06); Function value = 4.01196
Polar: (1.3102, -4.97677e+06); Function value = 1.58579
Polar: (1.5101, -4.9702e+06); Function value = 2.40325
Polar: (0.16193, -4.99178e+06); Function value = -0.761377
Polar: (0.7869, -4.98133e+06); Function value = -182.332
Polar: (0.319, -4.98155e+06); Function value = -0.335249
Polar: (0.25468, -4.97367e+06); Function value = -0.256441
Polar: (1.21412, -4.98707e+06); Function value = 14.1746
Polar: (1.8843, -4.97776e+06); Function value = -2.68071
Polar: (0.32215, -4.97067e+06); Function value = -3.9368
Polar: (1.17088, -4.99329e+06); Function value = 2.64039
Polar: (1.24272, -4.96795e+06); Function value = -1.28433
Polar: (0.1175, -4.97514e+06); Function value = -0.188704
Polar: (1.31105, -4.9735e+06); Function value = 16.3351
Polar: (0.32059, -4.97917e+06); Function value = -1.7573
Polar: (1.5268, -4.98631e+06); Function value = -7.95603
Polar: (0.30193, -4.97627e+06); Function value = -0.520087
Polar: (1.7909, -4.98557e+06); Function value = -4.21629
Polar: (0.21934, -4.98992e+06); Function value = -0.707748
Polar: (0.25603, -4.96797e+06); Function value = -0.451104
Polar: (0.28429, -4.96755e+06); Function value = 0.96574
Polar: (1.4275, -4.98081e+06); Function value = 5.31288
Polar: (0.5658, -4.97553e+06); Function value = 0.677791
Polar: (1.19, -4.98722e+06); Function value = -1.62445
Polar: (0.23769, -4.99673e+06); Function value = 0.248462
Polar: (1.1244, -4.98944e+06); Function value = 4.26361
Polar: (0.8128, -4.98628e+06); Function value = -0.817022
Polar: (0.5218, -4.98412e+06); Function value = -42.849
Polar: (0.25144, -4.98863e+06); Function value = -0.38199
Polar: (0.2165, -4.97912e+06); Function value = 0.228527
Polar: (1.3152, -4.98843e+06); Function value = -2.13808
Polar: (0.2997, -4.9734e+06); Function value = -0.949491
Polar: (1.4426, -4.98676e+06); Function value = 1.90722
Polar: (1.3142, -4.99836e+06); Function value = 1.68123
Polar: (0.26621, -4.97479e+06); Function value = 0.444277
Polar: (1.26998, -4.99125e+06); Function value = -3.40667
Polar: (0.31601, -4.96906e+06); Function value = -0.316068
Polar: (1.31656, -4.99218e+06); Function value = 85.5892
Polar: (1.2799, -4.97701e+06); Function value = 1.6476
Polar: (0.13558, -4.97652e+06); Function value = -0.146303
Polar: (0.16717, -4.99123e+06); Function value = -0.170924
Polar: (1.17834, -4.97824e+06); Function value = 7.37498
Polar: (0.26989, -4.97959e+06); Function value = 7.32485
Polar: (0.4294, -4.97961e+06); Function value = 112.488
Polar: (0.8895, -4.96962e+06); Function value = -1.20799
Polar: (0.28797, -4.99359e+06); Function value = -0.319265
Polar: (1.8642, -4.99767e+06); Function value = 2.06531
Polar: (0.19127, -4.97814e+06); Function value = -0.198348
Polar: (1.3817, -4.98847e+06); Function value = -2.82587
Polar: (0.30097, -4.97589e+06); Function value = -0.843524
Polar: (1.21272, -4.99104e+06); Function value = -1.7217
Polar: (1.2761, -4.98756e+06); Function value = -1.57602
Polar: (0.13355, -4.9845e+06); Function value = -0.133821
Polar: (0.20887, -4.97231e+06); Function value = 0.271769
Polar: (1.1675, -4.97473e+06); Function value = -2.82608
Polar: (0.18561, -4.97513e+06); Function value = 0.203889
Polar: (1.4134, -4.98857e+06); Function value = -1.79732
Polar: (0.525, -4.98795e+06); Function value = -0.779192
Polar: (1.18439, -4.99849e+06); Function value = -17.1386
Polar: (1.4155, -4.97051e+06); Function value = -1.47745
Polar: (0.32699, -4.97412e+06); Function value = 0.337094
Polar: (0.29056, -4.99817e+06); Function value = 0.340719
Polar: (0.26978, -4.9953e+06); Function value = -0.278281
Polar: (1.24026, -4.97974e+06); Function value = -1.24439
Polar: (0.20236, -4.96779e+06); Function value = 0.203982
Polar: (1.20229, -4.99363e+06); Function value = -26.0417
Polar: (1.24385, -4.99024e+06); Function value = 1.47884
Polar: (1.18288, -4.99753e+06); Function value = 2.76542
Polar: (0.18809, -4.99616e+06); Function value = -0.843453
Polar: (1.22208, -4.99256e+06); Function value = -1.90156
Polar: (0.10917, -4.98167e+06); Function value = 0.146341
Polar: (1.28237, -4.98681e+06); Function value = 1.91341
Polar: (1.18852, -4.99971e+06); Function value = 1.19332
Polar: (1.1442, -4.98753e+06); Function value = 1.95853
Polar: (0.9166, -4.98634e+06); Function value = 2.33758
Polar: (0.3841, -4.98924e+06); Function value = 0.516507
Polar: (1.18797, -4.97621e+06); Function value = 2.90781
Polar: (0.15325, -4.9905e+06); Function value = -0.213522
Polar: (1.2622, -4.98613e+06); Function value = -1.26227
Polar: (1.4447, -4.97377e+06); Function value = 11.3476
Polar: (0.29173, -4.993e+06); Function value = 0.435396
Polar: (0.19682, -4.97958e+06); Function value = -0.372806
Polar: (1.5303, -4.97307e+06); Function value = 1.5886
Polar: (1.6263, -4.9799e+06); Function value = -1.95193
Polar: (1.11166, -4.96991e+06); Function value = 4.87636
Polar: (1.3937, -4.97684e+06); Function value = -1.96437
Polar: (0.312, -4.99444e+06); Function value = -0.35818
Polar: (1.4762, -4.99896e+06); Function value = -1.70275
Polar: (0.11783, -4.98643e+06); Function value = -0.371385
Polar: (1.2798, -4.99509e+06); Function value = -4.39619
Polar: (1.9475, -4.96843e+06); Function value = -2.02379
Polar: (0.18777, -4.98636e+06); Function value = -0.223106
Polar: (1.4116, -4.99911e+06); Function value = -1.54211
Polar: (1.29652, -4.98458e+06); Function value = 1.30094
Polar: (0.31896, -4.99134e+06); Function value = -0.656794
Polar: (0.29061, -4.97221e+06); Function value = 0.377745
Polar: (1.22499, -4.98493e+06); Function value = 1.23865
Polar: (0.25449, -4.97642e+06); Function value = 0.338316
Polar: (0.1529, -4.98941e+06); Function value = -0.15324
Polar: (0.15151, -4.9753e+06); Function value = 0.307464
Polar: (0.2775, -4.98634e+06); Function value = 0.35333
Polar: (1.16316, -4.99652e+06); Function value = -1.24081
Polar: (1.23912, -4.99328e+06); Function value = 16.5914
Polar: (0.25, -4.98258e+06); Function value = -0.295005
Polar: (1.1576, -4.99245e+06); Function value = 1.84828
Polar: (0.24511, -4.97959e+06); Function value = 0.392912
Polar: (1.13285, -4.98642e+06); Function value = 1.18766
Polar: (1.15234, -4.99429e+06); Function value = 1.75962
Polar: (0.92, -4.98415e+06); Function value = -1.9643
Polar: (1.32163, -4.97805e+06); Function value = 1.49049
Polar: (0.30896, -4.98295e+06); Function value = 0.393674
Polar: (0.19084, -4.97064e+06); Function value = 0.199472
Polar: (0.847, -4.97911e+06); Function value = -0.849073
Polar: (0.18136, -4.97769e+06); Function value = 0.181523
Polar: (1.2369, -4.9744e+06); Function value = 2.03755
Polar: (0.19416, -4.97521e+06); Function value = 0.314291
Polar: (1.22374, -4.97856e+06); Function value = -3.01551
Polar: (0.27664, -4.97549e+06); Function value = 1.86157
Polar: (1.6006, -4.97478e+06); Function value = 11.9976
Polar: (0.1836, -4.99062e+06); Function value = 0.254226
Polar: (0.14462, -4.97956e+06); Function value = -0.164661
Polar: (0.12604, -4.99192e+06); Function value = -0.128495
Polar: (0.309, -4.96728e+06); Function value = -0.32636
Polar: (1.8636, -4.99634e+06); Function value = 2.33295
Polar: (0.5441, -4.98731e+06); Function value = 8.6372
Polar: (0.3214, -4.98493e+06); Function value = 24.9694
Polar: (0.30404, -4.98216e+06); Function value = 0.317496
Polar: (0.1042, -4.98103e+06); Function value = -0.961104
Polar: (0.11727, -4.99466e+06); Function value = -0.144245
Polar: (0.27505, -4.99331e+06); Function value = 0.276172
