Container without elements that are less than average:
Polar: (0.13466, -4.99726e+06); Function value = 0.203255
Polar: (1.27019, -4.97805e+06); Function value = 1.4633
Polar: (0.28435, -4.99434e+06); Function value = 0.486075
Polar: (0.15884, -4.96773e+06); Function value = -0.158842
Polar: (0.709, -4.97696e+06); Function value = 1.84451
Polar: (0.1774, -4.99117e+06); Function value = 1.12855
Polar: (0.14614, -4.96888e+06); Function value = -0.148449
Polar: (1.20247, -4.99856e+06); Function value = 3.0325
Polar: (0.25297, -4.99959e+06); Function value = 0.337329
Polar: (0.6353, -4.97792e+06); Function value = 0.754501
Polar: (0.12248, -4.97377e+06); Function value = -0.140744
Polar: (0.17968, -4.97132e+06); Function value = 0.37594
Polar: (1.4278, -4.99945e+06); Function value = 1.61112
Polar: (0.27153, -4.98657e+06); Function value = 0.27166
Polar: (0.11244, -4.97925e+06); Function value = -0.116373
Polar: (0.21375, -4.98064e+06); Function value = 0.334262
Polar: (1.24804, -4.99668e+06); Function value = 1.27653
Polar: (0.19336, -4.98145e+06); Function value = 0.239169
Polar: (1.16701, -4.99288e+06); Function value = 3.04199
Polar: (0.16944, -4.97589e+06); Function value = 0.291538
Polar: (0.388, -4.99205e+06); Function value = 0.85902
Polar: (0.31055, -4.99827e+06); Function value = 0.346006
Polar: (0.21281, -4.9755e+06); Function value = 0.226802
Polar: (0.10017, -4.99903e+06); Function value = 0.104753
Polar: (0.8948, -4.9742e+06); Function value = 3.29746
Polar: (0.13269, -4.99224e+06); Function value = 1.05825
Polar: (0.18245, -4.97784e+06); Function value = 0.185616
Polar: (1.19372, -4.98881e+06); Function value = 1.2509
Polar: (0.17494, -4.97722e+06); Function value = 0.253743
Polar: (1.16427, -4.97168e+06); Function value = 1.21196
Polar: (1.273, -4.97131e+06); Function value = 1.43339
Polar: (0.19324, -4.99814e+06); Function value = 1.71176
Polar: (1.3164, -4.98428e+06); Function value = 2.27375
Polar: (1.28514, -4.99782e+06); Function value = 2.2956
Polar: (1.15616, -4.97252e+06); Function value = 21.0665
Polar: (0.31469, -4.96926e+06); Function value = 0.318054
Polar: (1.31003, -4.99855e+06); Function value = 1.31871
Polar: (1.23073, -4.98289e+06); Function value = 1.39682
Polar: (0.28489, -4.96916e+06); Function value = 0.412528
Polar: (0.32539, -4.99507e+06); Function value = 4.69939
Polar: (0.3819, -4.98627e+06); Function value = 0.432609
Polar: (1.4395, -4.98632e+06); Function value = 1.4429
Polar: (0.20098, -4.97643e+06); Function value = 0.221803
Polar: (0.23313, -4.97696e+06); Function value = 0.237208
Polar: (0.21539, -4.9756e+06); Function value = 0.295927
Polar: (0.9015, -4.96842e+06); Function value = 0.941755
Polar: (0.1483, -4.97363e+06); Function value = -0.16356
Polar: (1.1203, -4.99884e+06); Function value = 32.5241
Polar: (0.5963, -4.97977e+06); Function value = 12.378
Polar: (0.11236, -4.96838e+06); Function value = 0.130851
Polar: (1.15019, -4.99631e+06); Function value = 1.15151
Polar: (1.13412, -4.97619e+06); Function value = 108.277
Polar: (0.2307, -4.99046e+06); Function value = 5.63726
Polar: (0.2006, -4.9746e+06); Function value = 0.206052
Polar: (1.11422, -4.99983e+06); Function value = 1.44079
Polar: (0.22392, -4.98625e+06); Function value = 0.266366
Polar: (0.15958, -4.97333e+06); Function value = -0.174479
Polar: (0.11575, -4.99369e+06); Function value = -0.118718
Polar: (0.1231, -4.97625e+06); Function value = 0.187317
Polar: (1.31459, -4.99905e+06); Function value = 2.98439
Polar: (1.8957, -4.97489e+06); Function value = 10.8663
Polar: (1.30475, -4.96889e+06); Function value = 32.5045
Polar: (1.29314, -4.99185e+06); Function value = 4.00716
Polar: (0.20786, -4.98001e+06); Function value = 0.225472
Polar: (1.1701, -4.98255e+06); Function value = 1.27789
Polar: (1.21781, -4.97993e+06); Function value = 1.21884
Polar: (1.2636, -4.97889e+06); Function value = 1.31752
Polar: (1.30772, -4.98755e+06); Function value = 1.48576
Polar: (0.31932, -4.98363e+06); Function value = 0.409582
Polar: (0.24887, -4.97339e+06); Function value = 0.251668
Polar: (0.31683, -4.9805e+06); Function value = 0.387009
Polar: (1.29726, -4.98207e+06); Function value = 1.95592
Polar: (0.28994, -4.98375e+06); Function value = 0.38987
Polar: (0.5799, -4.99194e+06); Function value = 1.53087
Polar: (1.5775, -4.99375e+06); Function value = 1.59686
Polar: (1.26621, -4.97601e+06); Function value = 2.42764
Polar: (1.17697, -4.97616e+06); Function value = 3.24271
Polar: (1.27048, -4.98504e+06); Function value = 1.55529
Polar: (1.27313, -4.98364e+06); Function value = 1.49842
Polar: (0.8869, -4.97978e+06); Function value = 0.93905
Polar: (1.3158, -4.99611e+06); Function value = 1.55216
Polar: (0.10727, -4.99595e+06); Function value = 0.107274
Polar: (1.13646, -4.98733e+06); Function value = 1.22131
Polar: (0.25009, -4.99117e+06); Function value = 0.259509
Polar: (0.1198, -4.98804e+06); Function value = 0.148765
Polar: (1.2988, -4.96927e+06); Function value = 2.26208
Polar: (1.10833, -4.99166e+06); Function value = 1.2464
Polar: (0.2227, -4.99799e+06); Function value = 0.521682
Polar: (0.7329, -4.96864e+06); Function value = 1.11513
Polar: (1.29245, -4.97929e+06); Function value = 2.18376
Polar: (0.26285, -4.98079e+06); Function value = 12.889
Polar: (0.27597, -4.97262e+06); Function value = 0.312918
Polar: (0.11202, -4.98221e+06); Function value = 0.179774
Polar: (1.902, -4.98387e+06); Function value = 49.649
Polar: (1.12537, -4.96973e+06); Function value = 1.13701
Polar: (0.15084, -4.99639e+06); Function value = -0.150952
Polar: (0.329, -4.99367e+06); Function value = 0.813344
Polar: (1.19134, -4.98934e+06); Function value = 2.22265
Polar: (1.25263, -4.97948e+06); Function value = 2.24342
Polar: (0.14769, -4.99879e+06); Function value = -0.147694
Polar: (1.26466, -4.97915e+06); Function value = 7.87536
Polar: (1.31451, -4.97919e+06); Function value = 1.37979
Polar: (1.9806, -4.96977e+06); Function value = 4.65897
Polar: (0.11889, -4.96828e+06); Function value = 0.176354
Polar: (1.99, -4.98341e+06); Function value = 8.05675
Polar: (0.2598, -4.98103e+06); Function value = 0.284981
Polar: (0.1667, -4.97457e+06); Function value = 0.46017
Polar: (0.23016, -4.99596e+06); Function value = 0.264352
Polar: (0.4368, -4.98255e+06); Function value = 0.62463
Polar: (1.20128, -4.97092e+06); Function value = 2.16862
Polar: (0.2245, -4.98157e+06); Function value = 0.47663
Polar: (0.20916, -4.99995e+06); Function value = 11.216
Polar: (0.30732, -4.99336e+06); Function value = 0.78396
Polar: (1.6722, -4.97186e+06); Function value = 3.63472
Polar: (0.27515, -4.98973e+06); Function value = 0.435318
Polar: (1.8058, -4.97339e+06); Function value = 2.89625
Polar: (0.15011, -4.9884e+06); Function value = 0.180886
Polar: (1.29648, -4.98033e+06); Function value = 1.87028
Polar: (1.6227, -4.99837e+06); Function value = 19.4011
Polar: (1.11775, -4.97584e+06); Function value = 1.21735
Polar: (0.19583, -4.9789e+06); Function value = 1.05518
Polar: (0.17125, -4.98437e+06); Function value = -0.173058
Polar: (1.1404, -4.98517e+06); Function value = 1.15916
Polar: (0.8467, -4.97082e+06); Function value = 23.3942
Polar: (0.12639, -4.97818e+06); Function value = 0.204734
Polar: (1.19223, -4.99879e+06); Function value = 1.20654
Polar: (1.26711, -4.98822e+06); Function value = 4.83572
Polar: (0.3113, -4.98376e+06); Function value = 0.334391
Polar: (0.28105, -4.98905e+06); Function value = 0.872159
Polar: (0.23209, -4.99053e+06); Function value = 0.237864
Polar: (1.3318, -4.96807e+06); Function value = 2.28187
Polar: (1.9949, -4.99479e+06); Function value = 2.97585
Polar: (1.792, -4.98925e+06); Function value = 5.22217
Polar: (1.23108, -4.99535e+06); Function value = 1.28569
Polar: (1.10931, -4.98855e+06); Function value = 3.63275
Polar: (0.15675, -4.99122e+06); Function value = 0.201332
Polar: (1.27997, -4.97227e+06); Function value = 1.31119
Polar: (1.4642, -4.98891e+06); Function value = 1.71641
Polar: (0.726, -4.98573e+06); Function value = 14.1158
Polar: (1.27182, -4.99171e+06); Function value = 1.27946
Polar: (1.13706, -4.98784e+06); Function value = 103.348
Polar: (0.31497, -4.97912e+06); Function value = 0.369323
Polar: (0.7326, -4.98704e+06); Function value = 4.01196
Polar: (1.3102, -4.97677e+06); Function value = 1.58579
Polar: (1.5101, -4.9702e+06); Function value = 2.40325
Polar: (1.21412, -4.98707e+06); Function value = 14.1746
Polar: (1.17088, -4.99329e+06); Function value = 2.64039
Polar: (0.1175, -4.97514e+06); Function value = -0.188704
Polar: (1.31105, -4.9735e+06); Function value = 16.3351
Polar: (0.28429, -4.96755e+06); Function value = 0.96574
Polar: (1.4275, -4.98081e+06); Function value = 5.31288
Polar: (0.5658, -4.97553e+06); Function value = 0.677791
Polar: (0.23769, -4.99673e+06); Function value = 0.248462
Polar: (1.1244, -4.98944e+06); Function value = 4.26361
Polar: (0.2165, -4.97912e+06); Function value = 0.228527
Polar: (1.4426, -4.98676e+06); Function value = 1.90722
Polar: (1.3142, -4.99836e+06); Function value = 1.68123
Polar: (0.26621, -4.97479e+06); Function value = 0.444277
Polar: (1.31656, -4.99218e+06); Function value = 85.5892
Polar: (1.2799, -4.97701e+06); Function value = 1.6476
Polar: (0.13558, -4.97652e+06); Function value = -0.146303
Polar: (0.16717, -4.99123e+06); Function value = -0.170924
Polar: (1.17834, -4.97824e+06); Function value = 7.37498
Polar: (0.26989, -4.97959e+06); Function value = 7.32485
Polar: (0.4294, -4.97961e+06); Function value = 112.488
Polar: (1.8642, -4.99767e+06); Function value = 2.06531
Polar: (0.19127, -4.97814e+06); Function value = -0.198348
Polar: (0.13355, -4.9845e+06); Function value = -0.133821
Polar: (0.20887, -4.97231e+06); Function value = 0.271769
Polar: (0.18561, -4.97513e+06); Function value = 0.203889
Polar: (0.32699, -4.97412e+06); Function value = 0.337094
Polar: (0.29056, -4.99817e+06); Function value = 0.340719
Polar: (0.20236, -4.96779e+06); Function value = 0.203982
Polar: (1.24385, -4.99024e+06); Function value = 1.47884
Polar: (1.18288, -4.99753e+06); Function value = 2.76542
Polar: (0.10917, -4.98167e+06); Function value = 0.146341
Polar: (1.28237, -4.98681e+06); Function value = 1.91341
Polar: (1.18852, -4.99971e+06); Function value = 1.19332
Polar: (1.1442, -4.98753e+06); Function value = 1.95853
Polar: (0.9166, -4.98634e+06); Function value = 2.33758
Polar: (0.3841, -4.98924e+06); Function value = 0.516507
Polar: (1.18797, -4.97621e+06); Function value = 2.90781
Polar: (1.4447, -4.97377e+06); Function value = 11.3476
Polar: (0.29173, -4.993e+06); Function value = 0.435396
Polar: (1.5303, -4.97307e+06); Function value = 1.5886
Polar: (1.11166, -4.96991e+06); Function value = 4.87636
Polar: (1.29652, -4.98458e+06); Function value = 1.30094
Polar: (0.29061, -4.97221e+06); Function value = 0.377745
Polar: (1.22499, -4.98493e+06); Function value = 1.23865
Polar: (0.25449, -4.97642e+06); Function value = 0.338316
Polar: (0.1529, -4.98941e+06); Function value = -0.15324
Polar: (0.15151, -4.9753e+06); Function value = 0.307464
Polar: (0.2775, -4.98634e+06); Function value = 0.35333
Polar: (1.23912, -4.99328e+06); Function value = 16.5914
Polar: (1.1576, -4.99245e+06); Function value = 1.84828
Polar: (0.24511, -4.97959e+06); Function value = 0.392912
Polar: (1.13285, -4.98642e+06); Function value = 1.18766
Polar: (1.15234, -4.99429e+06); Function value = 1.75962
Polar: (1.32163, -4.97805e+06); Function value = 1.49049
Polar: (0.30896, -4.98295e+06); Function value = 0.393674
Polar: (0.19084, -4.97064e+06); Function value = 0.199472
Polar: (0.18136, -4.97769e+06); Function value = 0.181523
Polar: (1.2369, -4.9744e+06); Function value = 2.03755
Polar: (0.19416, -4.97521e+06); Function value = 0.314291
Polar: (0.27664, -4.97549e+06); Function value = 1.86157
Polar: (1.6006, -4.97478e+06); Function value = 11.9976
Polar: (0.1836, -4.99062e+06); Function value = 0.254226
Polar: (0.14462, -4.97956e+06); Function value = -0.164661
Polar: (0.12604, -4.99192e+06); Function value = -0.128495
Polar: (1.8636, -4.99634e+06); Function value = 2.33295
Polar: (0.5441, -4.98731e+06); Function value = 8.6372
Polar: (0.3214, -4.98493e+06); Function value = 24.9694
Polar: (0.30404, -4.98216e+06); Function value = 0.317496
Polar: (0.11727, -4.99466e+06); Function value = -0.144245
Polar: (0.27505, -4.99331e+06); Function value = 0.276172
Polar: (1.16232, -4.97792e+06); Function value = 8.88813
Polar: (0.28937, -4.99406e+06); Function value = 0.835454
Polar: (1.7953, -4.99147e+06); Function value = 1.8959
Polar: (0.30209, -4.96826e+06); Function value = 5.95538
Polar: (1.13383, -4.98269e+06); Function value = 1.13825
Polar: (1.22478, -4.97008e+06); Function value = 1.22698
Polar: (0.2259, -4.99896e+06); Function value = 0.257007
Polar: (0.1396, -4.98405e+06); Function value = 0.169041
Polar: (1.27795, -4.9679e+06); Function value = 5.04611
Polar: (0.14723, -4.99969e+06); Function value = 0.757987
Polar: (0.2468, -4.98206e+06); Function value = 0.784305
Polar: (1.12682, -4.98997e+06); Function value = 1.18239
Polar: (1.1306, -4.96789e+06); Function value = 1.15533
Polar: (0.25961, -4.97086e+06); Function value = 10.4429
Polar: (1.212, -4.98621e+06); Function value = 19.8916
Polar: (0.11339, -4.99419e+06); Function value = -0.115142
Polar: (0.28561, -4.97676e+06); Function value = 0.690878
Polar: (1.11087, -4.99434e+06); Function value = 2.41427
Polar: (1.23856, -4.98905e+06); Function value = 2.37461
Polar: (0.10065, -4.98039e+06); Function value = 0.147487
Polar: (1.3186, -4.99384e+06); Function value = 1.37109
Polar: (0.27741, -4.9804e+06); Function value = 1.36941
Polar: (1.7285, -4.99063e+06); Function value = 3.00033
Polar: (1.10932, -4.97971e+06); Function value = 2.08001
Polar: (0.20203, -4.99726e+06); Function value = 0.209324
Polar: (0.21493, -4.98979e+06); Function value = 0.215515
Polar: (0.20306, -4.97089e+06); Function value = 0.207163
Polar: (0.31491, -4.99826e+06); Function value = 0.316883
Polar: (1.6954, -4.97416e+06); Function value = 2.33174
Polar: (0.3124, -4.9759e+06); Function value = 0.343911
Polar: (0.12075, -4.98446e+06); Function value = 0.121187
Polar: (0.2466, -4.97192e+06); Function value = 0.644171
Polar: (1.5869, -4.98827e+06); Function value = 3.41393
Polar: (0.8719, -4.97148e+06); Function value = 1.35172
Polar: (1.19058, -4.99506e+06); Function value = 1.45602
Polar: (1.24308, -4.99068e+06); Function value = 1.65017
Polar: (0.31681, -4.98157e+06); Function value = 0.611552
Polar: (0.2809, -4.98149e+06); Function value = 0.368171
Polar: (0.27971, -4.9867e+06); Function value = 0.695105
Polar: (1.10428, -4.97087e+06); Function value = 1.40632
Polar: (0.15665, -4.97636e+06); Function value = 0.157313
Polar: (0.20484, -4.99694e+06); Function value = 0.259549
Polar: (0.25349, -4.97969e+06); Function value = 0.253701
Polar: (0.30561, -4.98164e+06); Function value = 0.439123
Polar: (1.3434, -4.99362e+06); Function value = 3.51886
Polar: (0.18865, -4.96867e+06); Function value = 0.202772
Polar: (0.14751, -4.98539e+06); Function value = 0.268777
Polar: (0.6985, -4.99882e+06); Function value = 2.09872
Polar: (1.25653, -4.98297e+06); Function value = 1.31084
Polar: (0.15437, -4.97821e+06); Function value = 0.181175
Polar: (0.20594, -4.98485e+06); Function value = 1.23998
Polar: (0.12579, -4.99424e+06); Function value = 0.566796
Polar: (0.1297, -4.96768e+06); Function value = -0.18993
Polar: (1.14808, -4.99772e+06); Function value = 1.24274
Polar: (1.15294, -4.99096e+06); Function value = 3.17966
Polar: (0.29283, -4.97758e+06); Function value = 0.822605
Polar: (1.18474, -4.98466e+06); Function value = 1.18851
Polar: (0.6252, -4.98874e+06); Function value = 0.633275
Polar: (1.4745, -4.97111e+06); Function value = 3.08847
Polar: (1.25593, -4.99198e+06); Function value = 1.87851
Polar: (1.2516, -4.97973e+06); Function value = 1.30439
Polar: (0.5726, -4.97627e+06); Function value = 3.37887
Polar: (0.426, -4.99746e+06); Function value = 0.434887
Polar: (0.14342, -4.99025e+06); Function value = -0.146631
Polar: (1.32307, -4.97092e+06); Function value = 2.56726
Polar: (1.22949, -4.99013e+06); Function value = 21.3555
Polar: (0.17173, -4.99672e+06); Function value = -0.177797
Polar: (0.2835, -4.98197e+06); Function value = 0.711967
Polar: (0.20603, -4.96878e+06); Function value = 0.479797
Polar: (0.14328, -4.99547e+06); Function value = 0.210956
Polar: (0.108, -4.98228e+06); Function value = 0.352883
Polar: (1.18424, -4.97783e+06); Function value = 2.99629
Polar: (1.22099, -4.97521e+06); Function value = 1.96867
Polar: (0.12518, -4.97086e+06); Function value = -0.126772
Polar: (0.31898, -4.99937e+06); Function value = 0.329904
Polar: (0.3978, -4.98947e+06); Function value = 0.76251
Polar: (0.29204, -4.97753e+06); Function value = 0.295313
Polar: (0.5813, -4.99978e+06); Function value = 0.609323
Polar: (1.26617, -4.98972e+06); Function value = 2.03214
Polar: (1.14189, -4.98405e+06); Function value = 1.75292
Polar: (1.72, -4.9918e+06); Function value = 1.72645
Polar: (0.9194, -4.99067e+06); Function value = 1.81364
Polar: (1.10962, -4.9843e+06); Function value = 1.12146
Polar: (0.8344, -4.96724e+06); Function value = 0.845804
Polar: (0.14418, -4.99935e+06); Function value = -0.146667
Polar: (1.447, -4.98395e+06); Function value = 1.48179
Polar: (0.314, -4.99811e+06); Function value = 0.655247
Polar: (0.29561, -4.98233e+06); Function value = 0.296578
Polar: (0.31855, -4.99604e+06); Function value = 0.742661
Polar: (1.30339, -4.99836e+06); Function value = 1.57462
Polar: (0.27175, -4.96802e+06); Function value = 0.74306
Polar: (1.4339, -4.99505e+06); Function value = 2.61054
Polar: (0.9349, -4.96767e+06); Function value = 5.21928
Polar: (0.20351, -4.99058e+06); Function value = 0.442147
Polar: (0.738, -4.9734e+06); Function value = 1.1188
